"","tree","exo","mean_carbon","sem","emmean","SE","df","lower.CL","upper.CL",".group"
"1","Autumn Olive","Non-native",49.4823501816667,0.437363568220857,49.4823501816667,0.506150147212609,341,47.3003147893164,51.664385574017," 123"
"2","Barberry","Non-native",48.0268082908333,0.733606868263938,48.0268082908334,0.506150147212609,341,45.8447728984831,50.2088436831836," 1  "
"3","Beech","Native",49.661568985,0.237851533705215,49.6615689850001,0.506150147212612,341,47.4795335926498,51.8436043773503," 123"
"4","Burning Bush","Non-native",49.1899553141667,0.561529720423767,49.1899553141667,0.506150147212611,341,47.0079199218164,51.371990706517," 12 "
"5","Honeysuckle","Non-native",52.3118915783333,0.760295378419813,52.3118915783334,0.506150147212611,341,50.1298561859831,54.4939269706836,"   3"
"6","Musclewood","Native",51.3472536533333,0.522445986140072,51.3472536533334,0.50615014721261,341,49.1652182609831,53.5292890456836,"  23"
"7","Shadbush","Native",50.7200299833333,0.359404052868347,50.7200299833334,0.584451847487138,341,48.2004325410239,53.2396274256428," 123"
"8","Striped Maple","Native",48.4830538158333,0.392740112929169,48.4830538158334,0.50615014721261,341,46.3010184234831,50.6650892081836," 12 "
"9","Sweet Birch","Native",49.3758594441667,0.289437784020755,49.3758594441667,0.50615014721261,341,47.1938240518164,51.557894836517," 123"
"10","Witch-hazel","Native",50.4757060975,0.483387164775686,50.4757060975,0.506150147212611,341,48.2936707051498,52.6577414898503," 123"
