"","exo","emmean","SE","df","lower.CL","upper.CL"
"1","Native",0.741537747903351,0.105515614275454,114,0.532512128707485,0.950563367099218
"2","Non-native",0.591927426531552,0.125588701240315,114,0.343137176661696,0.840717676401407
