"","tree","exo","mean_nitrogen","sem","emmean","SE","df","lower.CL","upper.CL",".group"
"1","Autumn Olive","Non-native",10.89797475875,0.0724749878217454,10.89797475875,0.143139836822532,341,10.2808926701207,11.5150568473793," 12"
"2","Barberry","Non-native",10.4283337105,0.170195519808455,10.4283337105,0.143139836822532,341,9.81125162187066,11.0454157991293," 1 "
"3","Beech","Native",11.3615993979167,0.180460065082654,11.3615993979167,0.143139836822532,341,10.7445173092873,11.978681486546,"  2"
"4","Burning Bush","Non-native",11.1879740311667,0.122822494103285,11.1879740311667,0.143139836822532,341,10.5708919425373,11.805056119796," 12"
"5","Honeysuckle","Non-native",11.2960428723333,0.13097511664521,11.2960428723333,0.143139836822532,341,10.678960783704,11.9131249609627,"  2"
"6","Musclewood","Native",11.2562462216667,0.138923377497245,11.2562462216667,0.143139836822532,341,10.6391641330373,11.873328310296," 12"
"7","Shadbush","Native",11.0762193378889,0.193973443378313,11.0762193378889,0.165283646642496,341,10.3636743179244,11.7887643578534," 12"
"8","Striped Maple","Native",11.4495658491667,0.172897691958997,11.4495658491667,0.143139836822532,341,10.8324837605373,12.066647937796,"  2"
"9","Sweet Birch","Native",10.9051373525,0.122393308159402,10.9051373525,0.143139836822532,341,10.2880552638707,11.5222194411293," 12"
"10","Witch-hazel","Native",11.4596415433333,0.12433977090388,11.4596415433333,0.143139836822532,341,10.842559454704,12.0767236319627,"  2"
