"","tree","exo","mean_nitrogen","sem","emmean","SE","df","lower.CL","upper.CL",".group"
"1","Autumn Olive","Non-native",10.2232230500833,0.118363515152275,10.2232230500833,0.16911409789797,341,9.89058489892235,10.5558612012443," 12"
"2","Barberry","Non-native",9.91616515383333,0.20149553714554,9.91616515383333,0.16911409789797,341,9.58352700267236,10.2488033049943," 1 "
"3","Beech","Native",9.91192586025,0.137824635122918,9.91192586025,0.16911409789797,341,9.57928770908902,10.244564011411," 1 "
"4","Burning Bush","Non-native",9.99472798933333,0.248363433818037,9.99472798933333,0.16911409789797,341,9.66208983817236,10.3273661404943," 1 "
"5","Honeysuckle","Non-native",10.84676056025,0.170499056233903,10.84676056025,0.16911409789797,341,10.514122409089,11.179398711411,"  2"
"6","Musclewood","Native",10.0584531249167,0.169433031621991,10.0584531249167,0.16911409789797,341,9.72581497375569,10.3910912760776," 1 "
"7","Shadbush","Native",9.59087453477778,0.162454327156258,9.59087453477778,0.195276139890307,341,9.20677708254672,9.97497198700884," 1 "
"8","Striped Maple","Native",10.2355476290833,0.119853356863243,10.2355476290833,0.16911409789797,341,9.90290947792236,10.5681857802443," 12"
"9","Sweet Birch","Native",9.77381254658333,0.186379034556383,9.77381254658333,0.16911409789797,341,9.44117439542235,10.1064506977443," 1 "
"10","Witch-hazel","Native",9.69413197125,0.147539718706144,9.69413197125,0.16911409789797,341,9.36149382008902,10.026770122411," 1 "
